market,channel,total_spend,total_contribution,roi_proxy
market_1,facebook,13689.72255089292,6284.3711167645815,0.45905759546271296
market_1,google,17054.51620370783,5532.4629790153795,0.32439870547676775
market_1,tv,27215.338841876,10744.571181567142,0.39479836146792946
market_2,facebook,14927.872947512169,7429.756307441446,0.4977103123509411
market_2,google,18471.232489060247,8230.672248486897,0.44559410171257313
market_2,tv,30347.523609851498,12101.577967954558,0.39876657230859225
market_3,facebook,12837.71021537127,6329.7657316882405,0.49306033751324885
market_3,google,15659.808394435719,5393.849419878759,0.34443904318748336
market_3,tv,25137.55795877312,12061.774411039873,0.47983079465482686
market_4,facebook,9406.813298135954,5020.439448271062,0.5337024653466768
market_4,google,10727.928356923367,5291.224907755227,0.49321963492984056
market_4,tv,18210.05316347949,7810.3268099161905,0.4289019224600567
